,year,state,demRatio
1420,1992,KANSAS,0.3373849413602757
1424,1992,KENTUCKY,0.4455114207247639
1432,1992,LOUISIANA,0.4558453914124838
1443,1992,MAINE,0.3876679730212995
1450,1992,MARYLAND,0.4981260518598394
1455,1992,MASSACHUSETTS,0.47541410927927824
1466,1992,MICHIGAN,0.43773687484399393
1474,1992,MINNESOTA,0.4348465127847806
1487,1992,MISSISSIPPI,0.40768064143867394
1492,1992,MISSOURI,0.4407168575694087
1496,1992,MONTANA,0.3763112452293446
1502,1992,NEBRASKA,0.29403454157435605
1506,1992,NEVADA,0.3735754999822246
1515,1992,NEW HAMPSHIRE,0.38911795091350765
1521,1992,NEW JERSEY,0.42953959123027496
1534,1992,NEW MEXICO,0.45898846638338486
1544,1992,NEW YORK,0.4727630691275797
1556,1992,NORTH CAROLINA,0.42653368302161304
1563,1992,NORTH DAKOTA,0.32183505174713517
1566,1992,OHIO,0.4018128056321024
1572,1992,OKLAHOMA,0.3402473749585539
1575,1992,OREGON,0.42478855058958337
1582,1992,PENNSYLVANIA,0.45146164873251193
1587,1992,RHODE ISLAND,0.4704796356136888
1596,1992,SOUTH CAROLINA,0.4276254117463252
1602,1992,SOUTH DAKOTA,0.37140970813730095
1606,1992,TENNESSEE,0.47084793088803906
1612,1992,TEXAS,0.37078458334051023
1618,1992,UTAH,0.24654501759413333
1629,1992,VERMONT,0.46113751764750555
1641,1992,VIRGINIA,0.4058607440265809
1646,1992,WASHINGTON,0.43410220037463415
1656,1992,WEST VIRGINIA,0.4841482161898089
1660,1992,WISCONSIN,0.4113155574098482
1670,1992,WYOMING,0.34099777871165277
1675,1996,ALABAMA,0.4315608769582409
1681,1996,ALASKA,0.33267113649532326
1688,1996,ARIZONA,0.4651706594607681
1694,1996,ARKANSAS,0.5373644915194817
1707,1996,CALIFORNIA,0.5109886561852729
1717,1996,COLORADO,0.44426498409348764
1729,1996,CONNECTICUT,0.5283158147196567
1737,1996,DELAWARE,0.518278497839814
1743,1996,DISTRICT OF COLUMBIA,0.8519001109160806
1751,1996,FLORIDA,0.4802557119781926
1757,1996,GEORGIA,0.4584146584952188
1760,1996,HAWAII,0.5692880151060757
1768,1996,IDAHO,0.3364638985094903
1773,1996,ILLINOIS,0.5431527783028726
1781,1996,INDIANA,0.41557137645749265
1785,1996,IOWA,0.5026096469015254
1795,1996,KANSAS,0.3608479940426324
1800,1996,KENTUCKY,0.4584217848532593
1807,1996,LOUISIANA,0.5200999574541791
1815,1996,MAINE,0.5162395588689167
1823,1996,MARYLAND,0.5425477435186173
1830,1996,MASSACHUSETTS,0.614720987115381
1838,1996,MICHIGAN,0.5169482057469723
1846,1996,MINNESOTA,0.5110075658200806
