,candidate,state,spending,year
35,"Clinton, Hillary Rodham",New Jersey,30527066.51,2016
36,"Clinton, Hillary Rodham",New Mexico,55245.8,2016
37,"Clinton, Hillary Rodham",Nevada,1847185.99,2016
38,"Clinton, Hillary Rodham",New York,78235566.89,2016
39,"Clinton, Hillary Rodham",Ohio,408732.27,2016
40,"Clinton, Hillary Rodham",Oklahoma,232882.52,2016
42,"Clinton, Hillary Rodham",Oregon,132120.41,2016
43,"Clinton, Hillary Rodham",Pennsylvania,3550814.99,2016
45,"Clinton, Hillary Rodham",Rhode Island,3491279.92,2016
46,"Clinton, Hillary Rodham",South Carolina,761016.19,2016
47,"Clinton, Hillary Rodham",South Dakota,29605.07,2016
48,"Clinton, Hillary Rodham",Tennessee,402672.45,2016
49,"Clinton, Hillary Rodham",Texas,5245322.74,2016
50,"Clinton, Hillary Rodham",Utah,663167.17,2016
51,"Clinton, Hillary Rodham",Virginia,7707699.38,2016
53,"Clinton, Hillary Rodham",Vermont,30345.11,2016
54,"Clinton, Hillary Rodham",Washington,8416194.62,2016
55,"Clinton, Hillary Rodham",Wisconsin,215077.77,2016
56,"Clinton, Hillary Rodham",West Virginia,19930.38,2016
57,"Clinton, Hillary Rodham",Wyoming,32859.22,2016
58,"Trump, Donald J.",Alaska,20244.87,2016
59,"Trump, Donald J.",Alabama,480333.44,2016
60,"Trump, Donald J.",Arkansas,170702.77,2016
61,"Trump, Donald J.",Arizona,3390083.23,2016
62,"Trump, Donald J.",California,9120311.4,2016
63,"Trump, Donald J.",Colorado,2821458.1,2016
64,"Trump, Donald J.",Connecticut,1130803.43,2016
65,"Trump, Donald J.",District of Columbia,7095697.02,2016
66,"Trump, Donald J.",Delaware,277087.08999999997,2016
67,"Trump, Donald J.",Florida,14985463.3,2016
68,"Trump, Donald J.",Georgia,2806733.65,2016
69,"Trump, Donald J.",Hawaii,15242.75,2016
70,"Trump, Donald J.",Iowa,2642951.56,2016
71,"Trump, Donald J.",Idaho,50818.39,2016
72,"Trump, Donald J.",Illinois,1345820.6199999999,2016
73,"Trump, Donald J.",Indiana,1348388.66,2016
74,"Trump, Donald J.",Kansas,579340.71,2016
75,"Trump, Donald J.",Kentucky,857462.26,2016
76,"Trump, Donald J.",Louisiana,17121587.25,2016
77,"Trump, Donald J.",Massachusetts,2767791.09,2016
78,"Trump, Donald J.",Maryland,467283.97000000003,2016
79,"Trump, Donald J.",Maine,116729.71,2016
80,"Trump, Donald J.",Michigan,869749.73,2016
81,"Trump, Donald J.",Minnesota,91759.46,2016
82,"Trump, Donald J.",Missouri,9522826.14,2016
83,"Trump, Donald J.",Mississippi,380844.94,2016
84,"Trump, Donald J.",Montana,58173.08,2016
85,"Trump, Donald J.",North Carolina,1435016.94,2016
86,"Trump, Donald J.",North Dakota,15350.0,2016
87,"Trump, Donald J.",Nebraska,173529.48,2016
88,"Trump, Donald J.",New Hampshire,11576884.33,2016
89,"Trump, Donald J.",New Jersey,19253807.78,2016
90,"Trump, Donald J.",New Mexico,183176.28,2016
91,"Trump, Donald J.",Nevada,1132280.1300000001,2016
92,"Trump, Donald J.",New York,26845432.580000002,2016
93,"Trump, Donald J.",Ohio,4373003.42,2016
94,"Trump, Donald J.",Oklahoma,445094.22,2016
