,state,naics,num_employees,annual_payroll
257429,41,48,65714,3182054
257890,41,51,36903,3224660
258188,41,52,64974,5875588
258460,41,53,33399,1565219
258713,41,54,99384,8329802
259164,41,55,58259,6728192
259203,41,56,108126,4328122
259606,41,61,37468,1130266
259776,41,62,266015,14860878
260248,41,71,31796,734212
260500,41,72,189355,3384786
260683,41,81,70108,2309729
261106,41,99,303,7538
261121,42,11,2791,116506
261244,42,21,22053,1742950
261381,42,22,28888,3354707
261474,42,23,255801,16664774
261852,42,31,551201,32514092
264082,42,42,251351,19030900
264881,42,44,657825,18484413
265765,42,48,256700,12034954
266281,42,51,108115,10722247
266622,42,52,293254,29172741
266973,42,53,66647,3790550
267256,42,54,336793,29585583
267760,42,55,183039,18893641
267802,42,56,336430,13622938
268262,42,61,278137,12458224
268459,42,62,1099559,54556950
268985,42,71,112729,3147964
269292,42,72,488022,7171469
269484,42,81,244726,7110963
269975,42,99,356,10616
269989,44,11,165,8988
270022,44,21,183,10177
270039,44,22,1344,167673
270076,44,23,20439,1368133
270369,44,31,39321,2315457
271040,44,42,20562,1479870
271487,44,44,49616,1541766
272147,44,48,13075,548691
272426,44,51,7139,572829
272587,44,52,32300,3174425
272786,44,53,5487,276976
272975,44,54,22980,1748764
273311,44,55,11010,932271
273345,44,56,25900,1090142
273641,44,61,29657,1137938
273755,44,62,87110,4333322
274102,44,71,9412,201014
274268,44,72,52223,976210
274405,44,81,17891,611026
274730,44,99,32,1166
274741,45,11,3691,179818
274869,45,21,1786,118987
274921,45,22,10684,1043145
274991,45,23,90598,4947502
275359,45,31,248874,14394641
276823,45,42,76346,4724421
277510,45,44,254533,7013649
278339,45,48,74188,3166304
278768,45,51,35773,2418548
279024,45,52,79189,6336319
279324,45,53,28092,1292225
279577,45,54,101448,7169489
280012,45,55,31177,2659667
280049,45,56,306311,11126398
280451,45,61,31619,954603
280626,45,62,256734,12467723
281103,45,71,31430,550340
281355,45,72,240525,3796555
281534,45,81,83501,2448924
281972,45,99,277,7607
281986,46,11,450,19632
282057,46,21,1325,110730
282100,46,22,2777,266954
282140,46,23,21974,1253887
282465,46,31,45701,2286154
283103,46,42,19337,1124351
283539,46,44,51645,1523583
284228,46,48,10617,468749
284512,46,51,6330,318079
284669,46,52,25144,1777237
284888,46,53,4180,171788
285076,46,54,13721,748583
285383,46,55,7228,570026
285419,46,56,11012,397709
285682,46,61,8264,222054
285793,46,62,73372,4110337
286153,46,71,7152,132268
286346,46,72,39622,654892
286508,46,81,14535,426162
286804,46,99,54,1360
286817,47,11,1767,59110
286903,47,21,3470,238335
286974,47,22,3290,278828
287028,47,23,124505,7308058
287409,47,31,333095,18471131
289235,47,42,122647,8196004
289981,47,44,319918,9566325
290830,47,48,171293,7979273
291290,47,51,46708,3282398
291617,47,52,136009,11960464
291931,47,53,38477,2024811
292207,47,54,126003,9212851
292664,47,55,91074,9299560
292702,47,56,270821,9361339
293140,47,61,66723,2514951
293323,47,62,434848,23176684
293812,47,71,43284,1577652
294068,47,72,307686,5027343
294241,47,81,118562,3504065
294697,47,99,425,12604
294712,48,11,6920,314293
294869,48,21,207580,19936493
295013,48,22,54461,5909264
295115,48,23,736998,45213758
295517,48,31,830260,54524199
298094,48,42,532256,39070895
298951,48,44,1333881,40882560
299846,48,48,543970,30682965
300468,48,51,264355,24579992
300845,48,52,582186,54723912
301252,48,53,216969,12832526
301549,48,54,783458,71116470
302078,48,55,336298,41281069
302122,48,56,1049120,44299646
302612,48,61,213372,8813132
302825,48,62,1615065,77809987
303393,48,71,159138,4436363
303712,48,72,1277207,21106012
303913,48,81,465949,15565489
304426,48,99,1463,49910
304441,49,11,469,39328
304505,49,21,8097,658154
304627,49,22,4665,477556
304685,49,23,99791,5791344
305050,49,31,132445,8005485
306387,49,42,61083,4082138
307004,49,44,160246,5228119
307775,49,48,68651,3623079
308130,49,51,58421,5660699
308396,49,52,73773,6263550
308684,49,53,22505,1177839
308916,49,54,99698,7078786
309356,49,55,28257,2934508
309398,49,56,160343,6918335
309784,49,61,60834,2038641
309957,49,62,153910,7420387
310411,49,71,28495,639646
310627,49,72,128286,2105151
310785,49,81,55554,2155916
311172,49,99,143,4708
311186,50,11,463,21171
311253,50,21,467,38016
311285,50,22,1197,134269
311317,50,23,14185,787157
311601,50,31,30658,1755876
312229,50,42,10671,661859
312590,50,44,37020,1201807
313261,50,48,5821,249079
313478,50,51,7207,516629
313665,50,52,8984,758712
313822,50,53,2982,136437
313976,50,54,12304,910695
314296,50,55,2120,179354
314324,50,56,8562,301389
314578,50,61,14837,493056
314698,50,62,50381,2496977
315021,50,71,7247,133311
315168,50,72,32790,567381
315300,50,81,10505,324182
315578,50,99,22,793
315589,51,11,4298,258760
315715,51,21,5182,356682
315815,51,22,14471,1734759
315891,51,23,197430,11856724
316264,51,31,241221,14231854
317829,51,42,104750,7800469
318534,51,44,428644,12394350
319404,51,48,120952,6013120
319894,51,51,97012,10929830
320220,51,52,168520,17988347
320566,51,53,56906,3463901
320839,51,54,509368,50900558
321326,51,55,82124,8446036
321369,51,56,280701,12629029
321809,51,61,82412,3305656
322008,51,62,478490,25753193
322510,51,71,66686,1441252
322792,51,72,372701,5909440
322975,51,81,171523,6810131
323451,51,99,476,15363
323466,53,11,14669,787194
323611,53,21,1869,142099
323685,53,22,10331,1182698
323744,53,23,215664,15258372
324126,53,31,268994,18918046
325862,53,42,137075,10404096
326615,53,44,344587,12196359
327488,53,48,113285,6236956
327976,53,51,158998,34711682
328299,53,52,114083,11752388
328611,53,53,56700,3288682
328873,53,54,223938,22362226
329360,53,55,141049,17563706
329402,53,56,163987,8531964
329830,53,61,57246,1772923
330025,53,62,446543,26330269
330519,53,71,67928,1812183
330801,53,72,299920,6008032
330996,53,81,122506,4573312
331444,53,99,492,17792
331459,54,11,690,23265
331518,54,21,18246,1274429
331621,54,22,5452,531740
331672,54,23,24221,1320090
331990,54,31,47344,2696078
332620,54,42,18142,944947
333065,54,44,79221,2128326
333793,54,48,15359,673330
334038,54,51,7725,402603
334203,54,52,16608,992637
334394,54,53,6254,262865
334602,54,54,24463,1374703
334910,54,55,5328,374639
334946,54,56,33610,1078079
335252,54,61,8269,274058
335374,54,62,134696,6771512
335798,54,71,6211,103830
335964,54,72,67685,993514
336120,54,81,22537,617211
336465,54,99,87,1861
336476,55,11,3765,201340
336594,55,21,5781,689287
336650,55,22,12724,1455167
336706,55,23,124079,8598746
337076,55,31,471475,27018549
339002,55,42,126808,8584047
