,state,year,college,value,quater_avg,halfYear_avg,swingIndex
88,Oregon,1980,6,8.9,8.966666666666656,9.133333333333335,11.105187687147245
89,Pennsylvania,1980,27,8.2,8.366666666666656,8.533333333333333,7.7232717342332835
90,Rhode Island,1980,4,7.3,7.466666666666657,7.550000000000001,12.332110949070474
91,South Carolina,1980,8,7.3,7.233333333333323,7.150000000000001,1.2745865403569145
92,South Dakota,1980,4,5.1,5.1,5.083333333333333,31.266917716199316
93,Tennessee,1980,10,7.9,7.8333333333333215,7.7,0.2998449209708154
94,Texas,1980,26,5.3,5.366666666666656,5.383333333333334,14.334681587630914
95,Utah,1980,4,6.8,6.8,6.683333333333333,55.930370084031836
96,Vermont,1980,3,6.1,6.266666666666652,6.333333333333333,7.178615924793297
97,Virginia,1980,12,5.2,5.23333333333332,5.333333333333333,13.631721058248935
98,Washington,1980,9,8.4,8.4,8.366666666666667,14.190692189777598
99,West Virginia,1980,6,11.0,11.0,10.883333333333333,4.739563440259498
100,Wisconsin,1980,11,8.2,8.399999999999986,8.216666666666667,5.180617157120581
101,Wyoming,1980,3,4.4,4.299999999999984,4.1,38.26525195625972
102,Alabama,1984,9,10.5,10.700000000000001,10.966666666666667,22.526790702636546
103,Alaska,1984,3,9.6,9.666666666666666,9.75,38.11182529543278
104,Arizona,1984,7,5.3,5.0,4.733333333333333,34.23345514001201
105,Arkansas,1984,6,8.4,8.4,8.433333333333334,22.45517620388816
106,California,1984,47,7.5,7.533333333333331,7.6000000000000005,16.449069644395344
107,Colorado,1984,8,5.8,5.733333333333334,5.633333333333333,28.7315396713012
108,Connecticut,1984,8,4.5,4.5,4.533333333333332,21.99833752603608
109,District of Columbia,1984,3,8.4,8.466666666666667,8.583333333333334,72.29546789420152
110,Delaware,1984,3,6.0,6.099999999999999,6.1499999999999995,19.907345398391165
111,Florida,1984,21,6.3,6.366666666666666,6.416666666666667,30.664826427090965
112,Georgia,1984,12,6.1,6.1,6.05,20.395640296279606
113,Hawaii,1984,4,5.4,5.433333333333331,5.416666666666667,11.407448435298795
114,Idaho,1984,4,7.3,7.3,7.25,46.55114239482998
115,Illinois,1984,24,8.9,8.9,8.866666666666667,12.9465066144415
116,Indiana,1984,12,8.2,8.2,8.216666666666667,24.14685824336744
117,Iowa,1984,8,7.2,7.099999999999998,7.0,7.447650660040283
118,Kansas,1984,7,4.9,4.9,4.916666666666668,34.05895422313932
119,Kentucky,1984,9,8.7,8.733333333333329,8.866666666666669,20.728364778903963
120,Louisiana,1984,10,10.8,10.63333333333333,10.366666666666669,22.838322325084302
121,Maine,1984,4,5.7,5.799999999999996,5.900000000000001,22.138235801203244
122,Maryland,1984,10,5.1,5.199999999999996,5.283333333333334,5.5150543842892645
123,Massachusetts,1984,13,4.3,4.399999999999996,4.500000000000001,2.796660474518764
124,Michigan,1984,20,10.8,10.899999999999997,11.016666666666667,19.092649996337162
125,Minnesota,1984,10,6.0,6.033333333333327,6.116666666666667,0.18178153638990224
126,Mississippi,1984,7,10.6,10.633333333333326,10.633333333333335,24.630070117883218
127,Missouri,1984,11,6.8,6.833333333333326,6.95,20.049501335754083
128,Montana,1984,4,7.4,7.4333333333333265,7.500000000000001,22.602797527373998
129,Nebraska,1984,5,4.4,4.4,4.4,42.00950734658599
130,Nevada,1984,4,7.7,7.7,7.6833333333333345,34.63136310956584
131,New Hampshire,1984,4,4.3,4.266666666666658,4.200000000000001,37.86890450881138
132,New Jersey,1984,16,5.9,5.999999999999992,6.116666666666668,21.0427821629927
133,New Mexico,1984,5,8.0,7.8999999999999915,7.700000000000002,20.699196258376418
134,New York,1984,36,7.0,7.099999999999992,7.166666666666667,5.883435740577802
135,North Carolina,1984,13,6.5,6.5,6.45,24.055725899773716
136,North Dakota,1984,3,5.4,5.4,5.3833333333333355,31.469164766295343
137,Ohio,1984,23,9.1,9.1,9.200000000000001,18.94136743813666
138,Oklahoma,1984,8,6.9,6.833333333333324,6.783333333333334,38.219651695397914
139,Oregon,1984,7,9.2,9.2,9.216666666666667,12.209422678674741
140,Pennsylvania,1984,25,8.6,8.69999999999999,8.816666666666668,7.401462954243298
141,Rhode Island,1984,4,4.7,4.666666666666656,4.8500000000000005,3.6594604898505967
142,South Carolina,1984,8,6.7,6.799999999999989,6.800000000000001,28.237558828247554
143,South Dakota,1984,3,4.5,4.5,4.433333333333334,26.599026487135724
144,Tennessee,1984,11,8.2,8.333333333333321,8.55,16.363696188905983
145,Texas,1984,29,6.2,6.033333333333322,5.933333333333334,27.57261034602684
146,Utah,1984,5,6.3,6.3,6.333333333333333,50.24004201936349
147,Vermont,1984,3,4.5,4.5,4.6,17.329821455558204
148,Virginia,1984,12,5.2,5.1333333333333195,5.083333333333333,25.351375878439697
149,Washington,1984,10,8.9,8.933333333333318,9.066666666666666,13.692702032732583
150,West Virginia,1984,6,14.3,14.199999999999983,14.016666666666666,10.544868649196859
151,Wisconsin,1984,11,7.0,7.033333333333318,7.133333333333333,9.24403141924348
152,Wyoming,1984,3,6.6,6.499999999999985,6.349999999999999,42.80079952414382
153,Alabama,1988,9,7.3,7.3,7.266666666666667,19.49113679617782
154,Alaska,1988,3,8.3,8.466666666666667,8.616666666666667,24.3266348685068
155,Arizona,1988,7,6.2,6.366666666666667,6.483333333333333,21.486983061985022
156,Arkansas,1988,6,7.5,7.6000000000000005,7.6499999999999995,14.38328542623022
157,California,1988,47,5.2,5.233333333333332,5.266666666666667,3.614621072751778
158,Colorado,1988,8,6.0,6.166666666666667,6.266666666666667,7.9076487629943015
159,Connecticut,1988,8,3.0,2.9666666666666663,2.9166666666666665,5.16230091286598
160,District of Columbia,1988,3,4.8,4.8,4.85,70.49150521131355
161,Delaware,1988,3,3.1,3.1,3.016666666666667,12.482379191738557
162,Florida,1988,21,5.3,5.266666666666666,5.199999999999999,22.504143291703183
163,Georgia,1988,12,5.4,5.466666666666665,5.516666666666667,20.407232689520704
