,year,state,demRatio
454,1980,Kentucky,0.4928725439873041
462,1980,Louisiana,0.4718911401140074
469,1980,Maine,0.4809051656597664
475,1980,Maryland,0.516191380662185
480,1980,Massachusetts,0.49909326983143676
487,1980,Michigan,0.46453589103201587
493,1980,Minnesota,0.5221361455718679
505,1980,Mississippi,0.4932166779645438
511,1980,Missouri,0.4643458565855658
517,1980,Montana,0.36334755545704733
521,1980,Nebraska,0.2841755487178086
525,1980,Nevada,0.3007267133699923
529,1980,New Hampshire,0.3293230762715197
538,1980,New Jersey,0.4259085548536872
551,1980,New Mexico,0.4009173325688895
557,1980,New York,0.5084486380354196
569,1980,North Carolina,0.4890031737025543
575,1980,North Dakota,0.2901929024787089
585,1980,Ohio,0.4426451498992538
594,1980,Oklahoma,0.366278667196309
598,1980,Oregon,0.44447406156426383
604,1980,Pennsylvania,0.46138364132883364
610,1980,Rhode Island,0.5616605547453524
619,1980,South Carolina,0.4936270672982154
624,1980,South Dakota,0.3436654114190034
629,1980,Tennessee,0.4985007753951459
640,1980,Texas,0.4283265920618454
645,1980,Utah,0.22034814957984086
654,1980,Vermont,0.4641069203760335
663,1980,Virginia,0.4318413947087553
669,1980,Washington,0.429046539051112
677,1980,West Virginia,0.5236978172012975
682,1980,Wisconsin,0.4740969142143971
693,1980,Wyoming,0.3086737402187014
697,1984,Alabama,0.38736604648681733
704,1984,Alaska,0.30944087352283617
708,1984,Arizona,0.3288327242999399
712,1984,Arkansas,0.3877241189805592
722,1984,California,0.41775465177802334
727,1984,Colorado,0.356342301643494
735,1984,Connecticut,0.39000831236981964
740,1984,Delaware,0.40046327300804424
745,1984,District of Columbia,0.8614773394710076
755,1984,Florida,0.34667586786454524
758,1984,Georgia,0.398021798518602
761,1984,Hawaii,0.442962757823506
766,1984,Idaho,0.2672442880258501
770,1984,Illinois,0.4352674669277925
779,1984,Indiana,0.37926570878316285
783,1984,Iowa,0.4627617466997986
792,1984,Kansas,0.3297052288843034
798,1984,Kentucky,0.39635817610548024
807,1984,Louisiana,0.3858083883745785
815,1984,Maine,0.38930882099398384
