,year,state,manuRatio,voteRate,demRatio,swingIndex
25,1996,Arizona,0.6534078212290503,47.3,0.5122377115185426,0.0122377115185425
26,2000,Arizona,0.6607822030857553,46.7,0.4671740083286014,0.0328259916713986
27,2004,Arizona,0.5193471608296498,54.3,0.4472499496951174,0.0527500503048826
28,2008,Arizona,0.4997251803503951,53.3,0.4568609928038368,0.0431390071961632
29,2012,Arizona,0.4116415958142577,49.6,0.4538661977629681,0.0461338022370318
30,2016,Arizona,0.43523556735235563,53.288,0.4810997659896054,0.0189002340103945
31,2020,Arizona,0.42115080619664874,64.7,0.5015683167912931,0.0015683167912931
32,1992,California,0.04812960235640648,52.8,0.5851672876937908,0.0851672876937907
33,1996,California,0.05208937899013349,48.4,0.5721626523096894,0.0721626523096894
34,2000,California,0.05314460077979318,46.4,0.5620298999907178,0.0620298999907178
35,2004,California,0.03994496590354468,49.1,0.5504132045282245,0.0504132045282245
36,2008,California,0.03740672674988617,51.2,0.622784495915854,0.122784495915854
37,2012,California,0.03284562555986862,47.5,0.6187281116329663,0.1187281116329662
38,2016,California,0.03533934218125752,48.2247,0.6612822054272989,0.1612822054272988
39,2020,California,0.036648983190027025,55.7,0.6490891136066756,0.1490891136066756
40,1992,Colorado,0.06386983149074577,68.8,0.5280206552282498,0.0280206552282498
41,1996,Colorado,0.05444088275924876,58.8,0.4924079236977256,0.0075920763022743
42,2000,Colorado,0.05052947938217937,53.6,0.4551408005672097,0.0448591994327903
43,2004,Colorado,0.040789766783672556,61.7,0.4763377044175736,0.0236622955824263
44,2008,Colorado,0.038544619577817706,62.5,0.5455063469317343,0.0455063469317342
45,2012,Colorado,0.033281353365382654,65.4,0.5274798831420252,0.0274798831420252
46,2016,Colorado,0.030824396918900498,63.8187,0.5268333337268244,0.0268333337268243
47,2020,Colorado,0.11823529411764706,62.7,0.5693831949230015,0.0693831949230014
48,1992,Connecticut,0.029808327825512227,71.7,0.5412511670742668,0.0412511670742667
49,1996,Connecticut,0.023960880195599023,58.5,0.6036350688231273,0.1036350688231273
50,2000,Connecticut,0.023502036067481094,55.2,0.5925565804885452,0.0925565804885452
51,2004,Connecticut,0.019646924829157177,58.5,0.5527494756058412,0.0527494756058412
52,2008,Connecticut,0.017666666666666667,60.8,0.6131833824975418,0.1131833824975417
53,2012,Connecticut,0.013914455874390904,57.5,0.587725774769071,0.0877257747690709
54,2016,Connecticut,0.014106753812636165,57.489,0.5714154751726364,0.0714154751726363
55,2020,Connecticut,0.01437632135306554,60.5,0.6019504908807785,0.1019504908807784
56,1992,District of Columbia,0.23899848254931716,66.1,0.9029706961939272,0.4029706961939272
57,1996,District of Columbia,0.26839176405119647,59.6,0.9012354820886426,0.4012354820886425
58,2000,District of Columbia,0.24968553459119497,65.6,0.9048769447777848,0.4048769447777848
59,2004,District of Columbia,0.2345444059976932,62.0,0.9052027864743608,0.4052027864743608
60,2008,District of Columbia,0.2243337195828505,65.3,0.9340076833341566,0.4340076833341566
61,2012,District of Columbia,0.17128980032379923,67.7,0.9258764920211752,0.4258764920211751
62,2016,District of Columbia,0.18583464981569245,68.7232,0.9569518834185408,0.4569518834185407
63,2020,District of Columbia,0.20355405907071203,77.8,0.9446695384761944,0.4446695384761944
64,1992,Delaware,0.2303054934633882,66.1,0.5519799270472528,0.0519799270472528
65,1996,Delaware,0.2387778767163389,54.7,0.5862365663256995,0.0862365663256995
66,2000,Delaware,0.23222149801187017,62.2,0.5674006478528845,0.0674006478528844
67,2004,Delaware,0.18927234728444978,62.8,0.5383150624509161,0.038315062450916
68,2008,Delaware,0.17605795585644365,63.0,0.6263813864988855,0.1263813864988855
69,2012,Delaware,0.14032731595962725,62.2,0.5944695491927816,0.0944695491927816
70,2016,Delaware,0.14347111239205132,57.1709,0.5599862144368122,0.0599862144368121
71,2020,Delaware,0.14692586717174252,63.8,0.5962674416498447,0.0962674416498446
72,1992,Florida,0.006468176911825401,55.8,0.4880315891041901,0.0119684108958099
73,1996,Florida,0.005456825562465663,50.7,0.5315496119510641,0.031549611951064
74,2000,Florida,0.005411397332347109,51.6,0.4999539059196644,4.6094080335623566e-05
